No.;Tahun;Jenis Hutan;Nama PBPH;Luas PBPH;Target Produksi RKTPH Murni Luas (Ha);Target Produksi RKTPH Murni Volume (M3);Target Produksi RKTPH Carry Over Luas (Ha);Target Produksi RKTPH Carry Over Volume (M3);Target Produksi RKTPH Jumlah Luas (Ha);Target Produksi RKTPH Jumlah Volume (M3);Realisasi Produksi RKTPH Alam Volume (M3);Realisasi Produksi RKTPH Tanaman Volume (M3);Realisasi Produksi RKTPH Jumlah Volume (M3);Prosentase;Keterangan
118;2023;Hutan Alam;PT. Hanurata (Kalimantan Timur);86.440,00;2.000,00;22.672,84;0;0;2.000,00;22.672,84;11.852,67;0;11.852,67;52,28%;Tidak Ada
119;2023;Hutan Alam;PT. Kreasi Prima Lestari;41.475,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
120;2023;Hutan Alam;PT. Inhutani I Unit Meraang;70.700,00;2.457,48;41.320,08;635,7;14.202,63;3.093,18;55.522,71;51.305,93;0;51.305,93;92,41%;Tidak Ada
121;2023;Hutan Alam;PT. Inhutani I Unit Labanan;138.210,00;3.069,00;86.129,70;991;22.273,32;4.060,00;108.403,02;42.695,66;0;42.695,66;39,39%;Tidak Ada
122;2023;Hutan Alam;PT. Karya Lestari;49.123,00;1.193,00;27.260,61;359;7.519,43;1.552,00;34.780,04;21.616,38;0;21.616,38;62,15%;Tidak Ada
123;2023;Hutan Alam;PT. Utama Damai Indah Timber;49.250,00;1.139,00;18.869,80;240;5.882,55;1.379,00;24.752,35;18.766,76;0;18.766,76;75,82%;Tidak Ada
124;2023;Hutan Alam;PT. Kedungmadu Tropical Wood;50.400,00;1.746,00;17.097,63;0;0;1.746,00;17.097,63;25.422,81;0;25.422,81;148,69%;Tidak Ada
125;2023;Hutan Alam;PT. Inhutani I Unit Sambarata;106.020,00;2.971,00;99.287,21;300;12.212,69;3.271,00;111.499,90;84.809,66;0;84.809,66;76,06%;Tidak Ada
126;2023;Hutan Alam;KUD. Beringin Mulya;23.635,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
127;2023;Hutan Alam;PT. Amindo Wana Persada;43.680,00;1.267,94;42.927,52;112,37;4.627,27;1.380,31;47.554,79;0;0;0;0,00%;Tidak Ada
128;2023;Hutan Alam;CV. Pari Jaya Makmur;12.070,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
129;2023;Hutan Alam;PT. Mardhika Insan Mulia;46.080,00;1.152,00;28.000,00;581;20.171,46;1.733,00;48.171,46;3.448,26;0;3.448,26;7,16%;Tidak Ada
130;2023;Hutan Alam;PT. Telaga Mas Kalimantan;82.805,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
131;2023;Hutan Alam;PT. Belayan River Timber;97.500,00;2.258,16;26.528,04;144,29;0;2.402,45;26.528,04;22.364,35;0;22.364,35;84,30%;Tidak Ada
132;2023;Hutan Alam;PT. Widya Artha Perdana;14.800,00;418;16.186,00;0;0;418;16.186,00;0;0;0;0,00%;Tidak Ada
133;2023;Hutan Alam;PT. Barito Nusantara Indah;94.685,00;1.269,00;25.032,89;0;0;1.269,00;25.032,89;0;0;0;0,00%;Tidak Ada
134;2023;Hutan Alam;PT. Daisy Timber;30.170,00;1.120,00;32.697,26;863;12.437,10;1.983,00;45.134,36;2.699,08;0;2.699,08;5,98%;Tidak Ada
135;2023;Hutan Alam;PT. Wana Bakti Persada Utama;44.402,00;1.291,00;29.509,70;1.166,00;27.157,94;2.457,00;56.667,64;1.074,65;0;1.074,65;1,90%;Tidak Ada
136;2023;Hutan Alam;PT. Intertropic Aditama;46.230,00;1.618,90;20.257,64;0;0;1.618,90;20.257,64;9.752,96;0;9.752,96;48,14%;Tidak Ada
137;2023;Hutan Alam;PT. Rimba Karya Rayatama;39.800,00;880;30.933,26;0;0;880;30.933,26;258,63;0;258,63;0,84%;Tidak Ada
138;2023;Hutan Alam;PT. Trimurti Madina Mulia;30.810,00;0;0;0;0;0;0;0;0;0;0%;Tidak Ada
139;2023;Hutan Alam;PT. Mardhika Insan Mulia Tabalar;25.630,00;620,16;17.000,00;391,15;11.682,78;1.011,31;28.682,78;5.758,12;0;5.758,12;20,08%;Tidak Ada
140;2023;Hutan Alam;PT. Kemakmuran Berkah Timber;82.194,45;2.421,53;21.866,95;786;15.705,72;3.207,53;37.572,67;852,15;0;852,15;2,27%;Tidak Ada
141;2023;Hutan Alam;PT. Roda Mas Timber Kalimantan;70.324,64;1.811,00;29.597,99;0;0;1.811,00;29.597,99;5.144,86;0;5.144,86;17,38%;Tidak Ada
142;2023;Hutan Alam;PT. Harapan Kaltim Lestari;44.515,00;1.151,00;32.661,63;0;0;1.151,00;32.661,63;523,28;0;523,28;1,60%;Tidak Ada
143;2023;Hutan Alam;PT. Sumalindo Lestari Jaya V;59.860,00;299,8;6.005,68;0;0;299,8;6.005,68;0;0;0;0,00%;Tidak Ada
144;2023;Hutan Alam;PT. Kedap Sayaag;14.370,00;674;34.248,85;707;33.673,73;1.381,00;67.922,58;16.211,94;0;16.211,94;23,87%;Tidak Ada
145;2023;Hutan Alam;PT. Puji Sempurna Raharja;14.605,00;568;30.489,01;0;0;568;30.489,01;27.518,25;0;27.518,25;90,26%;Tidak Ada
146;2023;Hutan Alam;PT. Mahakarya Perdana Gemilang Unit II;12.890,00;439;8.005,00;0;0;439;8.005,00;0;0;0;0,00%;Tidak Ada
147;2023;Hutan Alam;PT. Mahakarya Perdana Gemilang Unit I;22.305,00;835;10.001,00;0;0;835;10.001,00;0;0;0;0,00%;Tidak Ada
148;2023;Hutan Alam;PT. Narkata Rimba;65.925,00;1.231,08;7.490,30;0;174,34;1.231,08;7.664,64;6.150,22;0;6.150,22;80,24%;Tidak Ada
